Rank,ASIN,Image URL,Title,Best Seller Ranks,Currency,Price,Review Rating,Review Count,In-Stock,Purchase Limits,Feature Points,Brand,Seller,Store,Offers,Product Dimensions,Product Weight,Shipping Weight,Published At,FBA,Prime,Sponsored
47,B09CGN1CG4,"https://images-eu.ssl-images-amazon.com/images/I/41EVRFQA84L._AC_UL300_SR300,200_.jpg","EDO Deckenlampe MALGA 6, 6-flammige, Schwarz, Drehbar, Deckenstrahler Spotleuchte Spotbalken GU10, Strahler, Deckenleuchte 23","Beleuchtung: 2578
Deckenspots: 47",EUR,59.99,4.0,56.0,,,"✔ Die Spots der Deckenleuchte sind drehbar. So können eigene Lichtakzente gesetzt werden und der individuellen Ausleuchtung sind keine Grenzen gesetzt.

✔ Die Deckenspots sind aus Aluminium gefertigt und fügen sich mit ihrem schlichten Design ideal in jeden Wohnraum ein, egal ob Wohnzimmer, Esszimmer, Flur, Badezimmer, Schlafzimmer, Kinderzimmer oder Keller.

✔ Durch die GU10-Fassung kann das Leuchtmittel schnell und unkompliziert ausgetauscht werden.

✔ Die Leuchte wird fertig geliefert und kann problemlos angeschlossen werden.

✔ Kein Leuchtmittel enthalten.",EDO,ELHURT,Besuche den EDO,,120 x 5.5 x 10 cm,1.9 kg,,2022-02-08,0.0,,
48,B000R2GCQ2,"https://images-eu.ssl-images-amazon.com/images/I/41By76FLcZL._AC_UL300_SR300,200_.jpg","ENDKAPPEN, für Hochvolt 1Phasen-Aufbauschiene","Beleuchtung: 2607
Leuchtbänder-Schienen: 1
Deckenspots: 48",EUR,4.29,4.5,482.0,,,"AMBIENTE: Durch das passende Zubehör wird Ihre SLV Leuchte ergänzt und bietet dadurch ein hochwertiges Licht, das eine angenehme Atmosphäre im Innenbereich schafft

PURISTISCHES DESIGN: Das 3 Phasen System Zubehör ist aus Polycarbonat (pc) gefertigt und fügt sich mit seiner schlichten Form nahtlos in jede Umgebung ein. Ganz gleich, ob Wohnzimmer, Esszimmer, Flur, Schlafzimmer, Kinderzimmer oder Keller

QUALITÄT: Freuen Sie sich auf Ihr neues Produkt in gewohnter SLV Qualität

EINHEITLICHES ERSCHEINUNGSBILD: Das SLV-Sortiment beinhaltet eine Vielzahl passender Leuchten für eine effektvolle Innenbeleuchtung

GERMAN ENGINEERING: Die eigene Entwicklung und Qualitätsprüfung in Deutschland bildet die Basis für ein ausgezeichnetes Produkterlebnis. Ihr neues SLV-Produkt bietet 5 Jahre Garantie

Kein Leuchmittel im Lieferumfang enthalten",SLV,,Besuche den SLV,,4 x 3 x 3 cm,11 g,,2007-05-21,,,
49,B0B2DPQBF5,"https://images-eu.ssl-images-amazon.com/images/I/61Bsu01RyUL._AC_UL300_SR300,200_.jpg","Gr4tec Deckenstrahler 5 Flammig LED, Deckenlampe LED GU10, Strahler Deckenleuchte Schwenkbar für Wohnzimmer, Schlafzimmer, Kü","Beleuchtung: 2645
Deckenspots: 49",EUR,58.99,4.3,220.0,,,"Parameter: Enthält 5×GU10 LED-Lampen, 550lm, 6W. Sockel: 73*6*2,5cm. Maximale Höhe: 14cm. Farbtemperatur: 2700K. CRI: 80Ra, AC 220-240V. Hinweis: Die Schutzart ist IP20, die Sie im Badezimmer verwenden können, aber Sie sollten vermeiden, dass Wasser auf die deckenleuchte 5 flammig spritzt.

Drehbarer Spot, die deckenstrahler LED weiß können nach oben und unten gedreht werden (90°), außerdem sind sie von links nach rechts drehbar (350°). Es ist einfach, den Winkel der deckenlampe strahler gu10 einzustellen. Sie bietet maßgeschneiderte Beleuchtung für Ihr Zuhause.

Gute Helligkeit, eine 6W GU10 deckenspot gu10 weiß liefert 600lm Helligkeit und strahlt ein schönes natürliches weißes Licht von 2700K aus, das eine angenehme und warme Atmosphäre in Ihrem Wohnzimmer, Ihrer Küche, Ihrem Zimmer oder Ihrem Flur schafft.

Modernes Design: Weiß mattes Gehäuse, einfach und elegant, mit echter Farbwiedergabe, die deckenstrahler 5 flammig ist aus hochwertigem Metall gefertigt, das eine gute Korrosionsbeständigkeit hat und nicht leicht rostet.

Energiesparend, wir bieten GU10 deckenleuchte wohnzimmer gu10 mit einer durchschnittlichen Lebensdauer von 25.000 Stunden. Sie können den Energieverbrauch um bis zu 80% im Vergleich zu anderen Glühbirnen reduzieren. Außerdem hat die strahler deckenleuchte weiß einen Farbwiedergabeindex≥80Ra, der die ursprüngliche Farbe des Objekts besser wiedergeben kann.",Gr4tec,Lilinhoo Online,Besuche den Gr4tec,,73 x 6 x 2.5 cm,1.4 kg,,2022-05-26,0.0,,
50,B07L2TSW3Y,"https://images-eu.ssl-images-amazon.com/images/I/61rMb-kiWXL._AC_UL300_SR300,200_.jpg","ledscom.de Decken-Einbaurahmen FERE Einbaurahmen schwarz matt (LED/Halogen/GU10/MR16/PAR16/50mm) inkl. GU10 Fassung, 6 Stk.","Beleuchtung: 2705
Deckenspots: 50
Einbauleuchten: 90",EUR,18.6,4.5,490.0,,,"Für den Einsatz in Holzdecken, Gipsdecken oder Möbeln geeignet

Durchmesser: 81 mm Höhe: 26 mm

Individuelle Lichtgestaltung durch austauschbares Leuchtmittel (enthält kein Leuchtmittel)

Einbaudurchmesser: min.: 58 mm, max.: 75 mm, Einbau-Tiefe: 65 mm

Lieferumfang: 6 Sets bestehend aus jeweils: Einbauring mit Haltefedern, GU10 Fassung

Unsere LED Einbaustrahler sind in ansprechend neutralem Design gestaltet. So fügen sie sich harmonisch in jede Umgebung ein. Mit unseren hocheffizienten GU10 LED Leuchtmitteln ergänzen Sie die Einbaustrahler in allen technischen Belangen. So lassen sich die Einbaustrahler wegen ihrer geringen Wärmeentwicklung auch in Holzdecken einsetzen. Die Leuchtmittel erfreuen sich zugleich einer besonders langen Lebensdauer und sind somit äußerst wartungsarm.

Auch die vermeintlich komplizierte Montage ist denkbar einfach. Hierfür muss man nur ein Loch bohren und den Einbauring in dem Loch versenken. Die Haltefedern fixieren den Einbaustrahler dann ganz automatisch. Unsere LED Einbaustrahler lassen sich also sehr individuell einsetzen und eignen sich besonders zur Montage in der Decke, beispielsweise im Wohnzimmer oder in der Küche.",ledscom.de,LEDs Com GmbH,Besuche den ledscom.de,,8.1l x 8.1b x 2.6h cm,53 g,,2018-12-03,0.0,,
1,B09PYY8684,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/619HODwm2FL._AC_UL320_.jpg,"Lospitch 10 er LED Einbaustrahler Warmweiß Schwenkbar Ø60 mm Lochbohrung 3W,245lm Deckenstrahler Schwenkbar Deckeneinbaustrahler Einbauspot Spot, für Küche Badezimmer Wohnzimmer","Beleuchtung: 8436
Einbaugehäuse- & Verkleidungssets: 27
Deckenspots: 197",EUR,26.99,4.3,15.0,,,"✨LED Einbauleuchten Flexible Einstellung der Lichtabstrahlungswinkel, links 15 Grad und rechts 15 Grad,120° Abstrahwinkel.Es kann etwa 90% des Stromverbrauchs einsparen. Aus hochwertiger Aluminiumlegierung, effiziente Wärmeableitung.

💡【TECHNISCHE DATEN】10 Stück , 3 Watt LED Einbauleuchten mit 245 Lumen , Farbe: Warmweiß 6500 Kelvin , Φ80*H40 , Der Deckenausschnitt muss Ø60mm betragen , 85V-265V Wechselstrom , Nicht dimmbar , mit Trafo , Spritzwasserschutz IP20

✨【HOHE QUALITAT】 Hochwertige hochglänzende Acryllinsen, hohe Helligkeit, bessere Transparenz, langlebiger, kein anormales Rauschen, kein Flimmern, erreichen eine hohe Lichtdurchlässigkeit und schützen Ihre Augen und die Augen Ihrer Familie.

💡【Breite Anwendung】Dieses LED Einbauleuchten ist nicht nur einfach zu installieren, sondern eignet sich auch für Ihren Eingangsbereich, Treppenhaus, Küche, Wohnzimmer, Schlafzimmer, Esszimmer, Bad, Flur oder Büro, Besprechungszimmer.

✨【SERVICE】Wenn Sie Fragen haben, kontaktieren Sie uns jederzeit, wir sind gerne für Sie da!",Lospitch,OB-EU,Besuche den Lospitch,,38.1 x 11.7 x 11.1 cm,943 g,,2022-01-07,False,0.0,True
2,B09RMVPP8G,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61IqRyduiAL._AC_UL320_.jpg,Click-licht.de Deckenstrahler Deckenspots & Aufbaustrahler Deckenspot Cora in Nickel 6-flammig Modern schlichte GU10 Metall Büro & Arbeitszimmer,"Beleuchtung: 10806
Deckenspots: 274",EUR,34.9,4.4,22.0,,,"✅ Strahler Spots & Aufbaustrahler sind echte Allrounder - Egal ob Wohnzimmer, Schlafzimmer, Küche, Esszimmer, Flur, Kinderzimmer oder im Büro. Das Design sorgt für einen heimische und gemütliche Atmosphäre und wertet jeden Raum auf.

✅ Besonders Deckenstrahler Deckenspots & Aufbaustrahler sorgen für eine direkte Ausleuchtung des gewünschten Bereichs. Durch das Kombinieren von mehreren Deckenstrahler Deckenspots & Aufbaustrahler wird ein hohes Maß an Helligkeit und ein einheitliches Gesamtbild über dem Esstisch, der Küchenzeile oder dem Nachttisch erzeugt.

✅ DESIGN & MATERIAL: * Material: Metall * Farbe: Nickel

✅ TECHNISCHE DATEN: * Anschlussspannung: 230 V * max. Leistung: 6x25 W * Fassung: 6xGU10 * Schutzklasse: I * Schutzart: IP20 * Schwenkbar: Ja * Drehbar: Ja * Dimmbar: mit geeignetem Leuchtmittel

✅ ZUSATZFUNKTIONEN: / Zubehör: * Netzstecker: Nein * Leuchtmittel: Nein",click-licht.de Ihr Lichtstudio,Leuchten-Trends,Besuche den click-licht.de Ihr Lichtstudio,,120.5 x 9 x 14.5 cm,1.15 kg,,2022-01-06,False,1.0,True
4,B0BRKSGFDK,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71D+fn3-zqL._AC_UL320_.jpg,"LED Einbaustrahler 3 stufen Dimmbar ultra Flach,6000K kaltweiß Spots,230V 6W 600LM Einbauleuchten,Einbauspots mit 30° Schwenkbar,Deckenspot IP54,Deckenstrahler für Wohnzimmer,Badezimmer,Küche 4er Set","Beleuchtung: 8224
Deckenspots: 188",EUR,30.99,0.0,,,,"【3 Stufen Dimmbar】LED Einbaustrahler benötigen keine herkömmlichen Dimmschalter und nur mit gewöhnlichen Wandschaltern gedimmt 3 stufen helligkeit: 600LM(6W) 100%,300LM(ca.3W) 50%,90LM 10% (ca.1W). Wenn der Schalter eingeschaltet ist,bleibt der LED Deckenlampe immer mit 100 % Helligkeit eingeschaltet.Zu diesem Zeitpunkt wird durch kontinuierliches Drücken des Schalters der Helligkeitseffekt von 50 % und 10 % erreicht.Schaffen Sie eine andere Atmosphäre für Sie

【IP54 & Schwenkbar】LED Deckenstrahler ist sehr flach, 30° Schwenkwinkel und 120° Abstrahlwinkel können für eine große und natürliche Innenbeleuchtung sorgen. Deckenspot sind nach IP54 gegen Spritzwasser geschützt und können in Nass- und Außenbereiche verwendet werden, um alle Arten von Deckendekorationen in Wohnräume, Badezimmer, Esszimmer, Schlafzimmer, Küche, Flure, Terrasse, Keller, Treppenhäuser, Büros und Geschäften zu erfüllen.

【Hohe Qualität und hohe Helligkeit】 6000 K kaltweiß 6W LED Strahler Deckenleuchte hat eine Helligkeit von 600 LM, was einer 60W GU10 Halogenlampe entspricht, wodurch die Stromrechnung effektiv gesenkt werden kann! Unsere LED Downlights haben eine durchschnittliche Lebensdauer von bis zu 25.000 Stunden, verfügen über CE-zertifizierte Netzteile und Es verfügt auch über eine EMC-Entstörungsfunktion, ohne dass andere elektrische Geräte in Ihrem Haus gestört werden

【Schell Montiert】 Die MYCUL Einbauspots LED mit 230V kommen inklusive Montageanleitung und verfügt außerdem über Klemmblöcke mit Sicherheitsschnallen,Es ist kein zusätzliches Installationszubehör erforderlich. Schließen Sie einfach die Drähte an die Klemmblöcke an und die Installationstiefe beträgt nur 2,5 cm.

【MYCUL Versprechen】Wir möchten, dass du genau so zufrieden bist mit unseren Einbauleuchten für die Decke wie wir, und hoffen, dass dieser dimmbar Einbaustrahler Ihnen ein wunderbares Leben bescheren kann! Wir bieten Ihnen ein 30-tägiges Rückgaberecht und eine Geld-zurück-Garantie für Ihr LED-Lichtset!",MYCUL,MMAGU,,,8.4 x 8.4 x 2.5 cm,460 g,,2023-01-03,False,0.0,True
6,B08PVW8SW6,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71soGmrW6lL._AC_UL320_.jpg,B.K.Licht - LED Deckenlampe - Deckenspot 1-flammig - schwenkbarer LED Deckenstrahler weiß ohne Leuchtmittel,"Beleuchtung: 1073
Deckenspots: 19",EUR,17.99,4.5,1421.0,,,"VIELSEITIGE LAMPE - Unsere Wohnzimmerlampe eignet sich für das gesamte Haus. Beispielsweise als Schlafzimmer Lampe, Wohnzimmer Deckenleuchte, Kinderzimmer Lampe sowie als Wandlampe oder Küchenlampe

INDIVIDUELLE AUSLEUCHTUNG - Der Spot unserer Deckenleuchte lässt sich in alle Richtungen drehen und schwenken. Die GU10 Fassung ist für 5W LEDs ausgelegt. Ein Leuchtmittel ist nicht enthalten

FÜR JEDEN PASSEND - Unsere Wandleuchte ist als 1-flammiger, 2-flammiger, 3-flammiger und 4-flammiger LED Strahler erhältlich. So erhalten Sie Spots genau nach Ihrer Vorstellung

EINFACHE MONTAGE - Das mitgelieferte Montagematerial inkl. einer passenden Anzahl an Schrauben, Dübeln und einer verständlichen Anleitung ermöglicht eine problemlose Montage an der Wand oder Decke

GROßE AUSWAHL - Unsere Deckenlampe ist nur der Anfang. Unser Sortiment umfasst viele weitere LED Lampen, LED Spots und LED Panel. Zudem erhalten Sie bei uns passende GU10 LED Leuchtmittel

Kein Leuchtmittel im Lieferumfang enthalten.",B.K.Licht,B.K.Licht,Besuche den B.K.Licht,,9 x 9 x 9 cm,230 g,,2020-12-07,False,0.0,False
7,B07THKFQBL,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61A9aqY2STL._AC_UL320_.jpg,"B.K.Licht - LED Deckenleuchte - LED Strahler XXL 1,8m Länge - LED Deckenlampe mit 6 LED Spots - GU10 LED Leuchtmittel","Beleuchtung: 4380
Deckenspots: 96",EUR,74.99,4.5,642.0,,,"SCHLICHTES DESIGN - Unsere Deckenstrahler in matt-nickel mit 6 drehbaren und schwenkbaren Spots in chrom fügt sich perfekt im Wohnzimmer, Schlafzimmer, in der Küche oder als Flurlampe ein

PRAKTISCHER LIEFERUMFANG - Die Wohnzimmerlampe wird mit 6 GU10 LED Leuchtmitteln geliefert, die 400 Lumen und 5 Watt haben. Bei der Lichtfarbe von 3.000K erscheint ihr Raum in einem warmweißen Licht

INDIVIDUELLE BELEUCHTUNG - Dank 2 beweglichen Armen kann die Lampe individuell ausgerichtet werden, sodass Sie alle Bereiche ausleuchten können. Zur Fixierung der Arme der Deckenbeleuchtung sind 2 transparente Klemmhalter inkl.

ACCESSOIRE FÜR IHR ZUHAUSE - Unsere Deckenlampe LED ist modern gehalten und macht sich super als Wohnzimmer Deckenleuchte, Schlafzimmerlampe, Kinderzimmer Lampe oder Esszimmerlampe

FÜR JEDEN WAS DABEI - Die Deckenleuchte Wohnzimmer ist nur ein Teil unserer Produktpalette. Wir bieten viele weitere LED Lampen, LED Panel, Deckenlampen LED, Deckenleuchten und Deckenspots LED an

Bei diesem Produkt handelt es sich um ein umgebendes Produkt. Umgebende Produkte sind Leuchten, die zur separaten Überprüfung der enthaltenen Lichtquelle(n) zerlegt werden können.",B.K.Licht,B.K.Licht,Besuche den B.K.Licht,,180 x 7 x 14.7 cm,1.56 kg,,2019-06-24,False,1.0,False
8,B07TS3HGRK,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51t8af+YrWL._AC_UL320_.jpg,PADMA LED Deckenlampe Strahler Küche Modern Warmweiß 4 x 5W mit 2 Schwenkbar Blätte 3000K 1600 Lumen Winkelverstellbar für Schalfzimmer Wohnzimmer Büro,"Beleuchtung: 4555
Deckenleuchten: 322",EUR,55.99,4.7,720.0,,,"💡【Modern Äste Design】Weißer Lampenschirm, 2 Blatte Struktur, voller Kreativität und sie sieht sehr elegant aus. Die Deckenlampe konbiniert glänzendem Chrom mit dem weiß Lampenschirm.

💡【Flexibel & Bequem】Mit schwenkbarer Lampenstäben und Lampenkopf, lässt sich diese Leuchte flexibel drehen. Nach Ihren Wünsche könnten Sie diese Leuchte einstellen. Hellt sie alle Ecken in Ihrem Wohnraum auf.

💡【Robuste Qualität】Die ganze Lampe ist aus hochwertigem Chrom gefertigt. In Vergleich zur feuergefährliche Plastiklampe hat unsere Lampe lange Lebensdauer von 30,000.

💡【 Sparen Sie Energie】Mit hochwertige LEDs besitzt unsere Leuchte eine Energieklasse von A+. Im Vergleich zu traditionelle leuchten kann unsere Leuchte 80% Energieverbrauchs sparen.

💡【Beste Dekoration】Mit chromvoll Design und behagliche Atmosphäre fügt PADMA Lampe sich super in Ihrer Familie ein. Sie ist nicht nur eine Lampe, sondern auch eine Dekoration.",PADMA,Padma Lighting,Besuche den PADMA,,78 x 9 x 11.5 cm,1.06 kg,,2019-07-03,False,1.0,False
9,B0BCPZ94RB,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71DGE7+8fvL._AC_UL320_.jpg,"ALUSSO LED Einbaustrahler 230V Flach 15W Decken Spots Warmweiß Neutralweiß Kaltweiss Einstellbar IP44 Deckenspots Einbauleuchten Einbauspots Deckenstrahler für Badezimmer Küche Wohnzimmer, 6er Set","Beleuchtung: 4610
Einbauleuchten für das Bad: 16",EUR,53.54,4.6,460.0,,,"✅【3 Farbtemperatur Einstellbar & Speicherfunktion】- LED Einbaustrahler 230V mit 3CCT Design, Warmweiß 3000K Neutralweiß 4000K Kaltweiß 6500K kann per gewöhnlichem Wandschalter eingestellt werden, Sie können frei die Beleuchtungsfarbe wählen, die am besten zu Ihrer Raumatmosphäre passt.

✅【Einbaustrahler LED Flach】- Mit neuer Generation von SMD2835 LED-Chips, 15 W 1350 LM, hohem Lumen und geringer Leistung, entspricht 135 W Halogen, spart bis zu 90% Energiekosten. CRI≥83, 120° breiter Abstrahlwinkel, kein Flimmern oder Rauschen. Nicht dimmbar, bitte nicht mit Dimmer verwenden.

✅【Einfache Installation】- Ultradünne LED deckenspots mit nur 26,5 mm Einbautiefe, ideal für Decken mit begrenztem Höhenabstand. Durchmesser 175 mm, Ausschnitt 145 mm ~ 165 mm, Kabellänge 15 cm. Direkt an AC 220 ~ 240 V angeschlossen, kein Transformator oder anderes Zubehör erforderlich.

✅【LED Spots Badzimmer】- IP44 wasserdichte LED Deckenstrahler, Material mit flammhemmendem PBT (Aluminiumdruckguss innen, PC außen), hervorragende Wärmeableitung, ideal für Badezimmer, Wohnzimmer, Küche, Schlafzimmer, Flur, Balkon, Schrank, Büro, Außenuntersicht und Gewerbegebiet.

✅【Top Qualitätsgarantie des Herstellers】- CE/UKCA- und RoHs-zertifiziert, ALUSSO LED Einbauspots 230V Flach getestete durchschnittliche Lebensdauer von über 30.000 Stunden, wir bieten 3 Jahre Garantie, um Ihre Sorgen nach dem Kauf, kostenlosem Ersatz oder Rückerstattung zu beseitigen.",ALUSSO,ALUX2019,Besuche den ALUSSO,,17.5 x 17.5 x 2.65 cm,920 g,,2022-09-01,False,1.0,False
10,B0915NV87D,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61Nm4IXXs9L._AC_UL320_.jpg,6 Flammig LED Deckenstrahler GU10 Modern Weiß Chrom Deckenleuchte 230V Wohnzimmer Deckenlampe Küche innen Strahler,"Beleuchtung: 46649
Deckenspots: 1080",EUR,40.49,4.0,21.0,18.0,0.0,"【Hochwertige GU10 Deckenlampe】Ganzmetallstruktur im weiß chrom,Anti-Rost, Glänzend und glatt, tut den Händen nicht weh. lange lebensdauer, CE- und RoHS-Sicherheitszertifizierung,2 jahre garantie.

【Schwenkbar küchenlampe led deckenleuchte 】Das drehbare 6-Flammig design kann einen größeren Innenbereich beleuchten. 90° drehbarer Lampensockel. 350 ° drehbarer Bügel.Ermöglicht die freie Steuerung der Lichtrichtung,um Ihr Zuhause komfortabel zu gestalten.

【Geeignet Innenszenen】Die 6 Spots Deckenleuchte Schutzstufe IP20 und eignet sich für Innenräume wie Wohnzimmer, Esszimmer, Küche, Schlafzimmer usw. Sie ist nicht für Badezimmer.

【Einfach zu installieren】Deckenleuchte wohnzimmer Wird mit Befestigungspaket und Installationsanleitung geliefert, direkt an das 230V Netz angeschlossen und die Glühlampen lassen sich leicht austauschen. (Ohne Glühbirne)

【Produktspezifikationen】Die rechteckige LED Deckenstrahler mit den Maßen 450x150x120mm (LxBxH), geeignet für alle GU10 Standard 6 x Glühbirnen max. 35 W .",Wondlumi,Kaihui-EU,Besuche den Wondlumi,,45 x 15 x 12 cm,1.58 kg,,2021-03-26,False,1.0,False
11,B07VQZZ72N,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81KZnMuBWwL._AC_UL320_.jpg,lambado® LED Spots Flach für Badezimmer IP65 in Schwarz - Moderne Deckenstrahler/Einbaustrahler für Außen inkl. 230V 5W Strahler neutralweiß dimmbar - Hell & Sparsam,"Beleuchtung: 9539
Einbauleuchten: 349",EUR,22.9,4.7,54.0,,,"PERFEKTE BELEUCHTUNG - Die feuchtraum LED Einbauleuchte aus solidem Aluminium in Premiumqualität bietet Ihnen überall eine moderne Optik.

VIELSEITIGER EINSATZ - Ob im Badezimmer/Dusche oder im Aussenbereich wie z.B. Garten/Terrasse - unsere LED Deckenspots sind strahlwassergeschützt.

LEICHT MONTIERT - Durch die direkte Installation an das 230V Netz ohne Trafo, sind Ihnen bei der Anzahl der LED Einbauspots keine Grenzen gesetzt.

EFFIZIENTES LICHT - Das 420 Lumen starke 5W LED-Modul in Tageslicht (4000K) ist dimmbar und lässt Ihre Stromkosten senken.

ABMESSUNGEN - Lochmaß Durchmesser: 68mm / Außendurchmesser: 84mm / Einbautiefe (inkl. LED-Modul): 35mm",lambado,Lambado,Besuche den lambado,,,,,2019-03-27,False,1.0,True
12,B07QLD2KQ2,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81w3p9DcFTL._AC_UL320_.jpg,lambado® Premium LED Spot 230V Flach Schwarz - Hell & Sparsam inkl. 5W Strahler warmweiß dimmbar - Moderne Beleuchtung durch zeitlose Einbaustrahler/Deckenstrahler,"Beleuchtung: 24123
Einbauleuchten: 845",EUR,20.9,4.6,15.0,,,"PERFEKTE BELEUCHTUNG - Die schwenkbare LED Einbauleuchte aus solidem Aluminium in Premiumqualität bietet Ihnen überall eine moderne Optik.

VIELSEITIGER EINSATZ - Ob im Wohnzimmer, Schlafzimmer, Küche oder Flur - der LED Deckenspot 230V sorgt überall für eine wohnliche Atmosphäre.

EFFIZIENTES LICHT - Das 380 Lumen starke 5W LED-Modul in warmweiß (2700K) ist dimmbar und lässt Ihre Stromkosten senken.

LEICHT MONTIERT - Durch die direkte Installation an das 230V Netz ohne Trafo, sind Ihnen bei der Anzahl der LED Einbauspots keine Grenzen gesetzt.

ABMESSUNGEN - Lochmaß Durchmesser: 68mm / Außenmaß: 90x90mm / Einbautiefe (inkl. LED-Modul): 30mm",lambado,Lambado,Besuche den lambado,,,,,2019-03-27,False,1.0,True
